,index,appeal_count,money_invested,stock_code,stock_mv,left_to_invest
764,辽宁成大,2,1830.0,600739.SH,28574979362.88,100.0%
765,华塑控股,1,1300.0,000509.SZ,1708750052.1899998,100.0%
766,铜陵有色,2,860.0,000630.SZ,21053066616.000004,100.0%
767,东方能源,2,380.00000000000006,000958.SZ,24225383340.0,100.0%
768,安集科技,2,0.0,688019.SH,9018865091.6,100.0%
769,八亿时空,2,0.0,688181.SH,4765766891.599999,100.0%
770,佰仁医疗,2,0.0,688198.SH,4025280000.0,100.0%
771,华特气体,2,0.0,688268.SH,7759200000.0,100.0%
772,亚光科技,2,0.0,300123.SZ,12293096040.599998,100.0%
773,中国应急,2,0.0,300527.SZ,7703402409.45,100.0%
774,新余国科,2,0.0,300722.SZ,2102240000.0,100.0%
775,国元证券,2,0.0,000728.SZ,29548625072.659996,100.0%
776,银龙股份,2,0.0,603969.SH,3708810000.0,100.0%
777,宏图高科,1,0.0,600122.SH,2339681867.0,100.0%
778,瀚叶股份,1,0.0,600226.SH,7469963554.62,100.0%
